Reward is: 7.911509011472974| input type: 2| time:22912
Reward is: 7.544621961457389| input type: 2| time:22970
Reward is: 7.602711609431676| input type: 2| time:23028
Reward is: 7.442499790872846| input type: 2| time:23085
Reward is: 7.850291984421866| input type: 2| time:23142
Reward is: 7.37370000566755| input type: 2| time:23199
Reward is: 7.520075125353677| input type: 2| time:23257
Reward is: 7.835652870791299| input type: 2| time:23313
Reward is: 7.329923467976706| input type: 2| time:23370
Reward is: 7.443300264222281| input type: 2| time:23427
Reward is: 7.41528410570962| input type: 2| time:23484
Reward is: 7.398325085639954| input type: 2| time:23540
Reward is: 7.414174795150757| input type: 2| time:23597
Reward is: 7.453885998044695| input type: 2| time:23654
Reward is: 7.339390286377498| input type: 2| time:23710
Reward is: 7.40935777766364| input type: 2| time:23767
Reward is: 7.46012328352247| input type: 2| time:23825
Reward is: 7.490709815706525| input type: 2| time:23882
Reward is: 7.452869415283203| input type: 2| time:23940
Reward is: 7.436205591474261| input type: 2| time:23997
Reward is: 7.459152119500296| input type: 2| time:24054
Reward is: 7.426255873271398| input type: 2| time:24111
Reward is: 7.377842256001063| input type: 2| time:24168
Reward is: 7.362097152641841| input type: 2| time:24224
Reward is: 7.349087595939636| input type: 2| time:24281
Reward is: 7.541202706950052| input type: 2| time:24339
Reward is: 7.613014408520289| input type: 2| time:24398
Reward is: 7.641573165144239| input type: 2| time:24457
Reward is: 7.6362612673214505| input type: 2| time:24516
Reward is: 7.622229993343353| input type: 2| time:24575
Reward is: 7.574027018887656| input type: 2| time:24633
Reward is: 7.570496082305908| input type: 2| time:24692
Reward is: 7.605007094996316| input type: 2| time:24750
Reward is: 7.702622056007385| input type: 2| time:24810
Reward is: 7.540982382638114| input type: 2| time:24868
Reward is: 7.610310997281756| input type: 2| time:24927
Reward is: 7.662571719714574| input type: 2| time:24988
Reward is: 7.629620807511466| input type: 2| time:25047
Reward is: 7.6887138571058| input type: 2| time:25107
Reward is: 7.6593232580593655| input type: 2| time:25166
Reward is: 7.645066831793104| input type: 2| time:25225
Reward is: 8.12840916429247| input type: 2| time:25284
Reward is: 8.15075068814414| input type: 2| time:25343
Reward is: 8.136587066309794| input type: 2| time:25402
Reward is: 7.67114702292851| input type: 2| time:25462
Reward is: 8.157751432486943| input type: 2| time:25521
Reward is: 8.081039769308909| input type: 2| time:25579
Reward is: 8.016825335366384| input type: 2| time:25637
Reward is: 8.0279506785529| input type: 2| time:25695
Reward is: 8.181583421570913| input type: 2| time:25754
Reward is: 8.156938569886343| input type: 2| time:25814
Reward is: 8.144973465374537| input type: 2| time:25873
Reward is: 8.111727663448878| input type: 2| time:25931
Reward is: 8.020992236477987| input type: 2| time:25989
Reward is: 7.984846276896341| input type: 2| time:26047
Reward is: 8.208458185195923| input type: 2| time:26106
Reward is: 8.13426843711308| input type: 2| time:26165
Reward is: 8.133740833827428| input type: 2| time:26227
Reward is: 8.173014402389526| input type: 2| time:26286
Reward is: 7.949575585978372| input type: 2| time:26344
Reward is: 7.93313170330865| input type: 2| time:26401
Reward is: 8.121487481253489| input type: 2| time:26460
Reward is: 8.125341994421824| input type: 2| time:26518
Reward is: 7.973583783422198| input type: 2| time:26576
Reward is: 8.21760321514947| input type: 2| time:26636
Reward is: 7.9891250644411365| input type: 2| time:26693
Reward is: 8.117365973336355| input type: 2| time:26752
Reward is: 8.156461366585322| input type: 2| time:26812
Reward is: 8.100926228931971| input type: 2| time:26870
Reward is: 8.045002170971461| input type: 2| time:26929
Reward is: 8.11769688129425| input type: 2| time:26988
Reward is: 7.994689907346453| input type: 2| time:27045
Reward is: 8.225901407854899| input type: 2| time:27105
Reward is: 8.154480721269335| input type: 2| time:27164
Reward is: 8.12225147656032| input type: 2| time:27223
Reward is: 8.175366086619242| input type: 2| time:27282
Reward is: 8.232222403798785| input type: 2| time:27342
Reward is: 8.117638536861964| input type: 2| time:27401
Reward is: 8.24142347914832| input type: 2| time:27463
Reward is: -5.226406182561602| input type: 2| time:27532
Reward is: 7.9051865594727655| input type: 2| time:27589
Reward is: 7.820928164890834| input type: 2| time:27649
Reward is: 7.613438274179186| input type: 2| time:27708
Reward is: 7.7292963692120145| input type: 2| time:27768
Reward is: 7.570516007287162| input type: 2| time:27827
Reward is: 7.510810162339892| input type: 2| time:27885
Reward is: 8.190520874091558| input type: 2| time:27944
Reward is: 7.920146184308188| input type: 2| time:28001
Reward is: 8.043385360922132| input type: 2| time:28060
Reward is: 8.16788159949439| input type: 2| time:28119
Reward is: 7.970365336963109| input type: 2| time:28176
Reward is: 8.12051703248705| input type: 2| time:28235
Reward is: 7.6975555419921875| input type: 2| time:28295
Reward is: 7.5186187369482855| input type: 2| time:28353
Reward is: 7.620733422892434| input type: 2| time:28412
Reward is: 7.430186918803624| input type: 2| time:28469
Reward is: 7.4720732399395535| input type: 2| time:28526
Reward is: 7.509993621281215| input type: 2| time:28584
Reward is: 7.475993173463004| input type: 2| time:28641
Reward is: 7.574079717908587| input type: 2| time:28700
Reward is: 7.4765609332493375| input type: 2| time:28757
Reward is: 7.682835042476654| input type: 2| time:28817
Reward is: 7.510434499808721| input type: 2| time:28874
Reward is: 7.678732284477778| input type: 2| time:28934
Reward is: 7.569757734026227| input type: 2| time:28992
Reward is: 7.605298025267465| input type: 2| time:29051
Reward is: 7.500540929181235| input type: 2| time:29109
Reward is: 8.093940734863281| input type: 2| time:29167
Reward is: 7.557025287832532| input type: 2| time:29226
Reward is: 7.506017489092691| input type: 2| time:29284
Reward is: 7.514804482460022| input type: 2| time:29344
Reward is: 7.808589058262961| input type: 2| time:29404
Reward is: 7.674696734973363| input type: 2| time:29464
Reward is: 7.458280222756522| input type: 2| time:29521
Reward is: 7.492764413356781| input type: 2| time:29579
Reward is: 7.478437866483416| input type: 2| time:29636
Reward is: 7.661740439278739| input type: 2| time:29696
Reward is: 8.149864154202596| input type: 2| time:29755
