Reward is: -6| input type: 2| time:91
Reward is: 7.723265402457294| input type: 2| time:13064
Reward is: 7.664642705636866| input type: 2| time:13123
Reward is: 7.6755607478758865| input type: 2| time:13182
Reward is: 7.609530231531929| input type: 2| time:13241
Reward is: 7.5157195610158585| input type: 2| time:13298
Reward is: 7.7243183430503395| input type: 2| time:13358
Reward is: 7.577884162173552| input type: 2| time:13416
Reward is: 7.469918896170223| input type: 2| time:13473
Reward is: 7.520274856511284| input type: 2| time:13530
Reward is: 7.620359624133391| input type: 2| time:13589
Reward is: 7.646362451946034| input type: 2| time:13648
Reward is: 7.518984387902653| input type: 2| time:13704
Reward is: 7.45047115578371| input type: 2| time:13760
Reward is: 7.537424985100241| input type: 2| time:13818
Reward is: 7.479003674843732| input type: 2| time:13874
Reward is: 7.547827769728268| input type: 2| time:13931
Reward is: 7.5347570601631615| input type: 2| time:13988
Reward is: 7.557347907739527| input type: 2| time:14046
Reward is: 7.562874520526213| input type: 2| time:14104
Reward is: 7.592084029141594| input type: 2| time:14162
Reward is: 7.65302251367008| input type: 2| time:14221
Reward is: 7.587235752274008| input type: 2| time:14280
Reward is: 7.58753563376034| input type: 2| time:14338
Reward is: 7.583437029053183| input type: 2| time:14396
Reward is: 7.597338192603168| input type: 2| time:14455
Reward is: 7.517862993128159| input type: 2| time:14512
Reward is: 7.53282014762654| input type: 2| time:14570
Reward is: 7.534335648312288| input type: 2| time:14627
Reward is: 7.462720520356122| input type: 2| time:14684
Reward is: 7.5773674950880165| input type: 2| time:14742
Reward is: 7.585040295825285| input type: 2| time:14800
Reward is: 7.557368523934308| input type: 2| time:14857
Reward is: 7.598865705377915| input type: 2| time:14916
Reward is: 7.558889052447151| input type: 2| time:14973
Reward is: 7.599655768450569| input type: 2| time:15031
Reward is: 7.4933357799754425| input type: 2| time:15089
Reward is: 7.591979517656214| input type: 2| time:15147
Reward is: 7.495151162147522| input type: 2| time:15204
Reward is: 7.563363587155061| input type: 2| time:15262
Reward is: 7.490353563252617| input type: 2| time:15319
Reward is: 7.548528026132023| input type: 2| time:15376
Reward is: 7.534077777582056| input type: 2| time:15433
Reward is: 7.599154395215652| input type: 2| time:15492
Reward is: 7.661634234821095| input type: 2| time:15551
Reward is: 7.552113561069264| input type: 2| time:15609
Reward is: 7.6036605905084045| input type: 2| time:15667
